,,,,,,,,,,,,
,,,,,,,,,,,,
,구분,메뉴 1depth,메뉴 2depth,메뉴 3depth,AS-IS DB 테이블명,마이그레이션 ASP,TO-BE DB 테이블명,수동,상태,진행날짜(예정),완료날짜,비고
,시스템,시스템 관리자 설정,,,,,bps_sys_adm,,,,,
,,시스템 기본 설정,,,,,bps_sys_bas,,,,,
,,메뉴 설정,,,,,bps_sys_menu,,,,,
,,,,,,,bps_sys_fun,,,,,
,,,,,,,bps_sys_menu_fun,,,,,
,,공통코드 설정,,,Code_MGT,codeInfo.asp,bps_sys_code,,,,,bizpack 전용 코드 (재파악)
,,게시물관리,공지사항,,,,bps_sys_brd,,,,,
,,,FAQ,,,,,,,,,
,,,가이드,,,,,,,,,
,,,고객문의,,,,,,,,,
,,서비스상품 설정,,,,,bps_sys_asp,,,,,
,,가입기업 설정,,,,,bps_sys_join,,,,,
,,테스트,,,,,toast_test,,,,,
,포털,환경설정(Portal),서비스가입정보,,,,bps_sys_join,Y,,,,헌터코리아 최종 정보 셋팅(수동)
,,,자사/계열사관리,,,,bpp_por_grp,Y,,,,헌터코리아 최종 정보 셋팅(수동)
,,,,,,,bpp_por_grp_region,,,,,
,,,,,,,bpp_por_grp_user,,,,,
,,,조직/부서관리,,,,bpp_por_org,Y,,,,헌터코리아 최종 정보 셋팅(수동)
,,,임직원관리,,,,bpp_por_grp_user,,,,,
,,,,,Admin_Member,porUserInfo.asp,bpp_por_user,,진행,2026.02.12,,
,,,,,Admin_MemberAnnual,porUserAnnualInfo.asp,bpp_por_user_annual,,,,,
,,,,,,,bpp_por_user_auth,,,,,
,,,사용자권한설정,,,,bpp_por_auth,,,,,
,,,전자결재설정관리,,,,bpp_por_san,,,,,
,,,공통코드관리,,Code_MGT,codeInfo.asp,bps_sys_code,,진행,2026.02.12,,
,,,WAP 설정 관리,,,,,,,,,
,,,포털게시물관리,,,,bpp_por_brd,,,,,
,,,양식관리,,,,bpp_por_form,,,,,
,,,메세지발송관리,,,,bpp_por_msg,Y,,,,헌터코리아 최종 정보 셋팅(수동)
,,,,,,,bpp_por_sms_read,,,,,
,,,택배사관리,,,,bpp_por_dly,,,,,
,,,휴일관리,,,,bpp_por_hdy,,,,,
,,,참조자설정관리,,,,bpp_por_ref,,,,,
,,기본 자산관리,자산관리,,,,bpp_ast_fix,Y,,,,헌터코리아 최종 정보 셋팅(수동) > 이실장님 헌터 자산 파악 후 수동 입력 처리 요청.
,,,창고관리,,,,bpp_ast_wrh,Y,,,,헌터코리아 최종 정보 셋팅(수동)
,,,운용비용 내역(자산),,,,bpp_ast_fix_cost,,,,,
,,,,,,,bpp_ast_fix_costhis,,,,,
,,제품/부품관리,제품/부품 분류관리,,Code_MGT,pcmBaseInfo.asp,bpp_pcm_base,,,,,
,,,제품관리,,,,bpp_com_pcm_cmp_con,,진행,,,
,,,,,,,bpp_com_prd_cmp_mapping,,,,,
,,,,,As_Product,prodInfo.asp,bpp_pcm_prd,,,,,
,,,,,,,bpp_pcm_prd_addition,,,,,
,,,,,,,bpp_pcm_prd_buysal,,,,,
,,,,,,,bpp_pcm_prd_icn,,,,,
,,,,,As_Product_Possess,pcmPrdPosInfo.asp,bpp_pcm_prd_possess,,,,,
,,,,,As_Product_Part,pcmPrdTkoInfo.asp,bpp_pcm_prd_tko,,,,,
,,,,,As_Product_Serial,pcmPrdSriInfo.asp,bpp_pcm_sri,,,,,
,,,부품관리,,As_Part,prodPartInfo.asp,bpp_pcm_cmp,,진행,,,
,,거래처관리,거래처현황,,As_Customer,cusInfo.asp,bpp_cus_info,,진행,,,
,,,,,,,bpp_cus_info_cycl,,,,,
,,,,,,,bpp_cus_info_cyclhis,,,,,
,,,,,,,bpp_cus_info_fax,,,,,
,,,,,AS_Product_Other,cusInfoOther.asp,bpp_cus_info_other,,,,,
,,,,,,,bpp_cus_info_outstn,,,,,
,,,,,MA_Member,cusUserInfo.asp,bpp_cus_info_user,,,,,
,,,,,MA_Member_Customer,cusUserInfoRelation.asp,bpp_cus_info_user_relate,,,,,
,,영업관리,영업활동,,,,bpp_sal_act,,,,,
,,,영업수주,견적서,Sale_EstimateSheet_Master,salRcvEstInfo.asp,bpp_sal_rcv_est,,,,,
,,,,,Sale_EstimateSheet_PP,salRcvPrdCmpInfo.asp,bpp_sal_rcv_prdcmp,,,,,
,,,,계약서,,,bpp_sal_rcv_cntr,,,,,
,,재고관리,입출고서관리,입고서,,,bpp_inv_stk_in,,,,,
,,,,,,,bpp_inv_stk_in_prdcmp,,,,,
,,,,출고서,,,bpp_inv_stk_out,,,,,
,,,,,,,bpp_inv_stk_out_prdcmp,,,,,
,,,입출고관리,,,,bpp_inv_sto_in,,,,,
,,,,,,,bpp_inv_sto_out,,,,,
,,,재고내역,,,,bpp_inv_pro,,,,,
,,,수불현황,,,,bpp_inv_pap,,,,,
,,,회수관리,,,,bpp_inv_rcl,,,,,
,,고객대응,납품설치관리,,,,bpp_inv_inst,,,,,
,,,제품/부품 판매,,,,bpp_flp_dlvg,,,,,
,,,AS접수,,As_Receipt,workInfo.asp,bpp_flp_asr,,,,,
,,,제품이동신청,,,,bpp_flp_pmv,,,,,
,,,제품철거신청,,,,bpp_flp_prm,,,,,
,,,전화상담,,,,bpp_flp_tel,,,,,
,,회계관리,급여관리,,,,bpp_acc_sly,,,,,
,,,급여관리대장,,,,bpp_acc_slyreg,,,,,
,,,연월차관리,연차신청,Admin_Annual_Req,accAnnualAplyInfo.asp,bpp_acc_annual_aply,,진행,2026.02.12,,
,,,,연차일정,,,,,,,,
,,,매입/매출관리 - 삭제예정,,,,,,,,,
,,,지출결의서,,,,bpp_acc_payout,,,,,
,,,,,,,bpp_acc_payout_item,,,,,
,,,수주서(매출),,,,bpp_sal_ordr,,,,,
,,,,,,,bpp_sal_ordr_prdcmp,,,,,
,,,입출금관리,,,,bpp_acc_rcp,,,,,
,,,입출금내역,,,,,,,,,
,,,부대비용,,,,,,,,,
,,,법인카드,,,,bpp_acc_corpcard,,,,,
,,,,,,,bpp_acc_corpcard_prch,,,,,
,,,카드사용내역관리,,,,bpp_acc_corpcard_uselog,,,,,
,,,통장,,,,bpp_acc_pbk,,,,,
,,문서관리,일정관리(캘린더),,,,,,,,,
,,,일반문서함,,,,,,,,,
,,,결재문서함,,,,,,,,,
,,,파일관리,,,,bpp_doc_file,,,,,
,,,교육과정등록,,,,,,,,,
,,고객센터,공지사항,,,,,,,,,
,,,FAQ,,,,,,,,,
,,,가이드,,,,,,,,,
,,,포털 고객문의,,,,,,,,,
,,,포털 게시판1,,,,,,,,,
,,개인화도구창,메인(관리자/직원),,,,,,,,,
,,고객대응V2,신규,,As_Receipt,workInfoReTbl.asp,bpp_wok_con,,,,,
,,,AS관리,,,,,,,,,
,,,제품/부품 판매,,,,,,,,,
,,,납품설치관리,,,,,,,,,
,,,제품이동신청,,,,,,,,,
,,,제품철거신청,,,,,,,,,
,,,전화상담,,,,,,,,,
